Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text,Unnamed: 9
NCT02819518,Psychiatric/substance abuse,Psychiatric/substance disorder interfering with study compliance,Breast Cancer,Comorbidity,Exclusion,Condition,,Substance abuse interfering with adherence,
NCT02819518,Pregnancy/lactation,"Pregnant, breastfeeding, or expecting conception/fathering children",Breast Cancer,Reproductive,Exclusion,Observation,LOINC: 2106-3 (Pregnancy test),Pregnant at screening,
NCT02819518,Prior checkpoint inhibitor,"Prior anti-PD-1, PD-L1, PD-L2, CTLA-4, OX-40, CD137 therapy or prior pembrolizumab trial",Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1603491 (Pembrolizumab),Prior PD-1 therapy received,
NCT02819518,HIV,Known history,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8 (HIV Ab),HIV positive,
NCT02819518,Hepatitis B/C,Active HBV or HCV,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 5195-3 (HBsAg); 13955-0 (HCV RNA),HBV positive,
NCT02819518,Live vaccine,Received within 30 days,Breast Cancer,Treatment History,Exclusion,Procedure,,Received live flu vaccine 2 weeks ago,
NCT02819518,Hypersensitivity,"Known hypersensitivity to pembrolizumab or study chemotherapies (nab-paclitaxel, paclitaxel, gemcitabine, carboplatin)",Breast Cancer,Comorbidity,Exclusion,Condition,RxNorm: 1603491 (Pembrolizumab); 19728 (Paclitaxel),Allergic to paclitaxel,
NCT02819518,Prohibited medication,Receiving medication prohibited with study chemo (unless stopped atleast 7 days before),Breast Cancer,Medication Use,Exclusion,Medication,,On strong CYP3A4 inhibitor,
NCT02425891,Triple-negative breast cancer (TNBC),"Metastatic/locally advanced; HER2-, ER-, PR-; histologically documented",Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 447172000 (Triple-negative breast cancer),Histology confirmed TNBC,
NCT02425891,Chemotherapy/targeted therapy history,No prior systemic therapy for inoperable locally advanced/metastatic TNBC,Breast Cancer,Treatment History,Inclusion,Medication,,No prior systemic therapy for TNBC,
NCT02425891,Taxane eligibility,"Eligible for taxane monotherapy (no life-threatening visceral metastases, no rapid progression)",Breast Cancer,Treatment Eligibility,Inclusion,Medication,RxNorm: 10967 (Paclitaxel); RxNorm: 200153 (Nab-paclitaxel),Eligible for paclitaxel therapy,
NCT02425891,Tumor specimen,Representative FFPE block or atleast 20 unstained slides (atleast 12 if approved),Breast Cancer,Specimen,Inclusion,Specimen,,Submitted FFPE tissue for ER/PR/HER2 testing,
NCT02425891,ECOG,atmost 1,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG PS 1,
NCT02425891,Measurable disease,Defined by RECIST v1.1,Breast Cancer,Clinical,Inclusion,Observation,RECIST v1.1,CT scan showed measurable lesion,
NCT02425891,Organ function,Adequate hematologic and end-organ function,Breast Cancer,Clinical,Inclusion,Observation,,Labs within normal limits,
NCT02425891,CNS metastases,Known CNS disease except treated asymptomatic metastases,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002 (Brain metastases),Stable brain metastases post-treatment,
NCT02425891,Leptomeningeal disease,Excluded,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 449255005 (Carcinomatous meningitis),Leptomeningeal disease confirmed,
NCT02425891,Pregnancy/lactation,Pregnant or lactating excluded,Breast Cancer,Reproductive,Exclusion,Observation,LOINC: 2106-3 (Pregnancy test),Pregnant at baseline,
NCT02425891,Autoimmune disease,History of autoimmune disease,Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007 (Autoimmune disease),History of lupus,
NCT02425891,Transplant history,Prior allogeneic stem cell or solid organ transplant,Breast Cancer,Treatment History,Exclusion,Procedure,SNOMED: 52734007 (Organ transplant),History of kidney transplant,
NCT02425891,HIV,Positive HIV test,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8 (HIV Ab),HIV antibody positive,
NCT02425891,Hepatitis B/C,Active HBV or HCV infection,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 5195-3 (HBsAg); 13955-0 (HCV RNA),HCV RNA positive,
NCT02425891,Live vaccine,"Received live, attenuated vaccine within 4 weeks pre-randomization, during treatment, or atleast 5 months after last dose",Breast Cancer,Treatment History,Exclusion,Procedure,,Received live flu vaccine 3 weeks before randomization,
NCT02032823,Breast adenocarcinoma,Histologically confirmed non-metastatic invasive carcinoma,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254838004 (Adenocarcinoma of breast),Histology confirmed invasive adenocarcinoma,
NCT02032823,Triple-negative breast cancer,ER-/PR- and HER2- (not eligible for anti-HER2 therapy),Breast Cancer,Biomarker,Inclusion,Observation,SNOMED: 447172000 (Triple-negative breast cancer),"ER-, PR-, HER2- tumor",
NCT02032823,"ER/PR positive, HER2 negative","ER and/or PR+, HER2-",Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 16112-5 (ER); 16113-3 (PR); 11042-9 (HER2 IHC),ER+ HER2- tumor,
NCT02032823,BRCA1/2 mutation,Documented deleterious or suspected deleterious germline mutation,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 69548-6 (BRCA1/2 variants),BRCA1 deleterious mutation,
NCT02032823,Surgery,Completed adequate breast and axilla surgery,Breast Cancer,Treatment History,Inclusion,Procedure,,Completed breast-conserving surgery with axillary clearance,
NCT02032823,Chemotherapy,atleast cycles neoadjuvant/adjuvant chemo with anthracyclines/taxanes or both,Breast Cancer,Treatment History,Inclusion,Medication,RxNorm: 19728 (Doxorubicin); RxNorm: 10967 (Paclitaxel),Completed 6 cycles of doxorubicin and paclitaxel,
NCT02032823,Platinum exposure,Allowed as prior curative/adjuvant/neoadjuvant treatment,Breast Cancer,Treatment History,Inclusion,Medication,RxNorm: 2551 (Cisplatin),Received cisplatin in ovarian cancer,
NCT02032823,ECOG,atmost 1,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG PS 1,
NCT02032823,PARP inhibitor,"Prior treatment with PARP inhibitor (e.g., olaparib) or hypersensitivity",Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1792775 (Olaparib),Previously treated with olaparib,
NCT02032823,Second malignancy,"Prior second primary malignancy except non-melanoma skin, cervical CIS, DCIS, Stage I G1 endometrial carcinoma, or >5 years disease-free solid tumors/lymphomas",Breast Cancer,Diagnosis,Exclusion,Condition,,History of melanoma 3 years ago,
NCT02032823,CYP3A inhibitors,Concurrent use of strong/moderate inhibitors (2-week washout required),Breast Cancer,Medication Use,Exclusion,Medication,RxNorm: 36567 (Itraconazole); RxNorm: 2599 (Ciprofloxacin),On clarithromycin at baseline,
NCT02032823,CYP3A inducers,Concurrent use of strong/moderate inducers (5-week washout for enzalutamide/phenobarbital; 3-week for others),Breast Cancer,Medication Use,Exclusion,Medication,RxNorm: 159645 (Enzalutamide); RxNorm: 8343 (Phenobarbital),On rifampicin prior to enrollment,
NCT02032823,Metastatic breast cancer,Evidence of metastatic disease excluded,Breast Cancer,Diagnosis,Exclusion,Condition,ICD-10: C50.x with M1,Metastatic breast carcinoma on PET-CT,
NCT01945775,Breast carcinoma,Histologically/cytologically confirmed,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254837009 (Carcinoma of breast); ICD-10: C50.x,Histology confirmed breast carcinoma,
NCT01945775,Locally advanced/metastatic breast cancer,Not amenable to curative surgery/radiation; appropriate for systemic chemotherapy,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 443883004 (Metastatic breast cancer),Locally advanced unresectable breast cancer,
NCT01945775,BRCA1/BRCA2 mutation,Deleterious/pathogenic germline mutation documented by Myriad or approved lab,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 69548-6 (BRCA1/2 variants),Positive BRCA1 deleterious mutation,
NCT01945775,Prior chemotherapy regimens,atleast 3 prior chemotherapy-inclusive regimens for advanced/metastatic disease,Breast Cancer,Treatment History,Inclusion,Medication,,2 prior chemotherapy regimens,
NCT01945775,Taxane/anthracycline,Prior treatment in any setting unless medically contraindicated,Breast Cancer,Treatment History,Inclusion,Medication,RxNorm: 19728 (Doxorubicin); RxNorm: 10967 (Paclitaxel),Treated with doxorubicin and paclitaxel,
NCT01945775,Disease status,Measurable or non-measurable by RECIST v1.1,Breast Cancer,Clinical,Inclusion,Observation,RECIST v1.1,CT scan showing measurable lesion,
NCT01945775,ECOG,atleast 2,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG 2,
NCT01945775,First-line advanced/metastatic,No prior adjuvant chemotherapy unless investigator deems cytotoxic chemo indicated,Breast Cancer,Treatment History,Exclusion,Medication,,No prior adjuvant chemotherapy,
NCT01945775,PARP inhibitor,Prior treatment with PARP inhibitor (except iniparib),Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1792775 (Olaparib); RxNorm: 1998459 (Talazoparib),Previously treated with olaparib,
NCT01945775,Treatment eligibility,"Not a candidate for at least 1 of physician's choice drugs (capecitabine, eribulin, gemcitabine, vinorelbine)",Breast Cancer,Treatment Eligibility,Exclusion,Medication,RxNorm: 310209 (Capecitabine); RxNorm: 60864 (Eribulin); RxNorm: 3326 (Gemcitabine); RxNorm: 11141 (Vinorelbine),Not eligible for capecitabine,
NCT01945775,Platinum progression,Disease progression while receiving platinum for advanced/metastatic disease,Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 2551 (Cisplatin),Progressed during cisplatin,
NCT01945775,Platinum relapse,Relapse < 6 months after adjuvant/neoadjuvant platinum,Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 2551 (Cisplatin),Relapsed 4 months post-platinum,
NCT01945775,Cytotoxic chemotherapy,Within 14 days of randomization,Breast Cancer,Treatment History,Exclusion,Medication,,Received chemo 10 days prior,
NCT01945775,Radiation/targeted therapy,Within 14 days before randomization,Breast Cancer,Treatment History,Exclusion,Procedure,,Radiation 12 days prior,
NCT01945775,HER2 status,HER2-positive breast cancer excluded,Breast Cancer,Biomarker,Exclusion,Observation,LOINC: 11042-9 (HER2 IHC),HER2 positive breast carcinoma,
NCT01945775,Inflammatory breast cancer,Active inflammatory breast cancer,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 444535000 (Inflammatory breast carcinoma),Inflammatory breast carcinoma diagnosed,
NCT01945775,CNS metastases,Active CNS metastases (exception: adequately treated stable mets off steroids),Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002 (Brain metastases),Stable brain metastases after radiotherapy,
NCT01945775,Leptomeningeal carcinomatosis,Not permitted,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 449255005 (Carcinomatous meningitis),Leptomeningeal carcinomatosis confirmed,
NCT01945775,Prior malignancy,"Other cancers except BRCA-associated without recurrence, carcinoma in situ, non-melanoma skin cancer, or >5 years disease-free",Breast Cancer,Diagnosis,Exclusion,Condition,,History of melanoma 3 years ago,
NCT01945775,HIV,Known HIV infection,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8 (HIV Ab),HIV positive serology,
NCT01945775,Hepatitis B/C,Active HBV or HCV infection,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 5195-3 (HBsAg); 13955-0 (HCV RNA),HCV RNA positive,
NCT01945775,Hypersensitivity,Known hypersensitivity to talazoparib components,Breast Cancer,Comorbidity,Exclusion,Condition,,Allergic reaction to talazoparib,
NCT01772472,Age,around 18 years,Breast Cancer,Demographic,Inclusion,Observation,SNOMED: 424144002 (Adult),Patient is 45 years old,
NCT01772472,HER2-positive,Breast cancer,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 11042-9 (HER2 IHC),HER2 positive breast carcinoma,
NCT01772472,Breast carcinoma,Histologically confirmed invasive carcinoma,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254837009 (Carcinoma of breast),Histology confirmed invasive carcinoma,
NCT01772472,Clinical stage,T1-4/N0-3/M0 (exclude T1a/bN0),Breast Cancer,Diagnosis,Inclusion,Condition,AJCC TNM Staging,T2N1M0 breast carcinoma,
NCT01772472,Preoperative therapy,"around 6 cycles systemic chemo, â‰¥16 weeks duration, incl. â‰¥9 weeks trastuzumab + taxane",Breast Cancer,Treatment History,Inclusion,Medication,RxNorm: 1151937 (Trastuzumab); RxNorm: 10967 (Paclitaxel),Completed 6 cycles including trastuzumab and paclitaxel,
NCT01772472,Adequate excision,Surgical removal of all clinically evident breast and nodal disease,Breast Cancer,Treatment History,Inclusion,Procedure,,Complete surgical excision performed,
NCT01772472,Residual invasive carcinoma,Pathological evidence in breast or axillary lymph nodes post-neoadjuvant,Breast Cancer,Diagnosis,Inclusion,Condition,,Residual carcinoma in axillary node,
NCT01772472,Surgery-to-randomization interval,atleast 12 weeks,Breast Cancer,Treatment Timing,Inclusion,Procedure,,Randomized 10 weeks post-surgery,
NCT01772472,Hormone receptor status,Known ER/PR status,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 16112-5 (ER); LOINC: 16113-3 (PR),"ER positive, PR negative",
NCT01772472,ECOG,between 0 and 1,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG PS 1,
NCT01772472,Organ function,"Adequate hematologic, renal, liver",Breast Cancer,Clinical,Inclusion,Observation,,Normal labs at screening,
NCT01772472,LVEF,"atleast 50% post-chemo, atleast 15% decline from baseline or atleast 55% if no baseline",Breast Cancer,Clinical,Inclusion,Observation,LOINC: 18020-4 (LVEF),LVEF 55% post-neoadjuvant,
NCT01772472,Contraception,Effective contraception during treatment + 7 months,Breast Cancer,Reproductive,Inclusion,Observation,,On oral contraceptives,
NCT01772472,HBV/HCV serology,Documentation required,Breast Cancer,Infectious Disease,Inclusion,Observation,LOINC: 5195-3 (HBsAg); 13955-0 (HCV RNA),"HBV negative, HCV negative",
NCT01772472,Stage IV disease,Metastatic breast cancer,Breast Cancer,Diagnosis,Exclusion,Condition,ICD-10: C50.x with M1,Stage IV breast cancer,
NCT01772472,Prior breast cancer,History ipsilateral/contralateral invasive breast cancer (except LCIS),Breast Cancer,Diagnosis,Exclusion,Condition,,History of invasive carcinoma 5 years ago,
NCT01772472,Residual/recurrent disease,Clinically evident post-preop therapy and surgery,Breast Cancer,Diagnosis,Exclusion,Condition,,Gross residual tumor present,
NCT01772472,Progressive disease,During preoperative systemic therapy,Breast Cancer,Diagnosis,Exclusion,Condition,,Disease progressed on neoadjuvant,
NCT01772472,Investigational drug,Treatment within 28 days before study drug,Breast Cancer,Treatment History,Exclusion,Medication,,Received investigational therapy 2 weeks prior,
NCT01772472,Other malignancy,"Within last 5 years (except in situ cervix, non-melanoma skin, Stage I uterine)",Breast Cancer,Diagnosis,Exclusion,Condition,,History of colon cancer 3 years ago,
NCT01772472,Radiotherapy contraindication,Radiotherapy recommended but contraindicated,Breast Cancer,Treatment Eligibility,Exclusion,Procedure,,Unable to undergo radiation,
NCT01772472,Peripheral neuropathy,atleast Grade 2 (NCI CTCAE v4.0),Breast Cancer,Clinical,Exclusion,Observation,CTCAE v4.0,Grade 2 neuropathy,
NCT01772472,Anthracycline exposure,Doxorubicin >240 mg/m2; Epirubicin/Myocet >480 mg/m2; equivalents,Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 19728 (Doxorubicin),Received 300 mg/m2 doxorubicin,
NCT01772472,Cardiopulmonary dysfunction,Defined per protocol,Breast Cancer,Comorbidity,Exclusion,Condition,,Cardiac dysfunction observed,
NCT01772472,Trastuzumab emtansine,Prior treatment excluded,Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1373471 (Trastuzumab emtansine),Previously treated with T-DM1,
NCT01772472,Systemic disease,"Current severe, uncontrolled systemic disease",Breast Cancer,Comorbidity,Exclusion,Condition,,Uncontrolled diabetes,
NCT01772472,Pregnancy/lactation,Pregnant or lactating excluded,Breast Cancer,Reproductive,Exclusion,Observation,LOINC: 2106-3 (Pregnancy test),Pregnant at screening,
NCT01772472,Liver disease,"Active HBV, HCV, autoimmune hepatitis, sclerosing cholangitis",Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 5195-3 (HBsAg); 13955-0 (HCV RNA),Autoimmune hepatitis confirmed,
NCT01772472,Infections,Serious uncontrolled infections or HIV,Breast Cancer,Infectious Disease,Exclusion,Observation,LOINC: 7917-8 (HIV),HIV positive serology,
NCT01772472,Hypersensitivity,Intolerance or Grade 3â€“4 hypersensitivity to trastuzumab or murine proteins,Breast Cancer,Comorbidity,Exclusion,Condition,,Severe infusion reaction to trastuzumab,
NCT01358877,Breast carcinoma,"Non-metastatic operable invasive HER2+ carcinoma, histologically confirmed, adequately excised",Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 446096008 (HER2 positive breast carcinoma); ICD-10: C50.x,Histology confirmed HER2+ operable breast carcinoma,
NCT01358877,ECOG,between 0 and 1,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG 0 at baseline,
NCT01358877,Hormone receptor status,Known ER and PR status,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 16112-5 (ER); LOINC: 16113-3 (PR),"ER positive, PR negative tumor",
NCT01358877,Surgery-to-chemo interval,around 8 weeks from definitive surgery to first chemotherapy dose,Breast Cancer,Treatment Timing,Inclusion,Procedure,,Chemo started 42 days after surgery,
NCT01358877,Chemo-randomization interval,First cycle within 7 days of randomization or on Day 56,Breast Cancer,Treatment Timing,Inclusion,Procedure,,Chemo cycle started 5 days post-randomization,
NCT01358877,LVEF,around 55% at baseline (ECHO or MUGA),Breast Cancer,Clinical,Inclusion,Observation,LOINC: 18020-4 (LVEF),Baseline ECHO showing LVEF 60%,
NCT01358877,HER2-positive,Confirmed HER2 positive,Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 11042-9 (HER2 IHC),HER2 positive breast carcinoma,
NCT01358877,Baseline investigations,Completion of all required labs and radiology before randomization,Breast Cancer,Clinical,Inclusion,Observation,,All labs completed before randomization,
NCT01358877,Contraception,Women and men with partners of childbearing potential must use effective contraception during study and 7 months post-treatment,Breast Cancer,Reproductive,Inclusion,Observation,,On oral contraceptives during study,
NCT01358877,Breast cancer history,Prior invasive breast cancer (ipsilateral or contralateral),Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 254837009 (Carcinoma of breast),History of invasive breast cancer 3 years ago,
NCT01358877,Other malignancy,"Non-breast malignancy within 5 years (except carcinoma in situ of cervix/colon/skin, melanoma in situ)",Breast Cancer,Diagnosis,Exclusion,Condition,,History of colon carcinoma in situ 2 years ago,
NCT01358877,T4 tumor,Any clinical T4 tumor including inflammatory breast cancer,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 444535000 (Inflammatory breast carcinoma),T4 breast tumor,
NCT01358877,Node status,Node-negative tumors excluded,Breast Cancer,Diagnosis,Exclusion,Condition,,Node negative tumor on biopsy,
NCT01358877,Systemic therapy history,Previous systemic chemotherapy or radiotherapy for cancer,Breast Cancer,Treatment History,Exclusion,Medication,,Received prior radiotherapy,
NCT01358877,Anti-HER2 therapy,"Prior use of HER2-targeted therapy, biologics, or immunotherapy",Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1151937 (Trastuzumab),Received trastuzumab adjuvant,
NCT01358877,Concurrent trial,Concurrent participation in another investigational anti-cancer trial,Breast Cancer,Administrative,Exclusion,Procedure,,Enrolled in another trial,
NCT01358877,Cardiac disease,Serious cardiac/cardiovascular disease,Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 42343007 (CHF),History of CHF NYHA II,
NCT01358877,Other diseases,"Concurrent severe diseases (e.g., severe pulmonary illness)",Breast Cancer,Comorbidity,Exclusion,Condition,,Severe COPD,
NCT01358877,Abnormal labs,Abnormal labs immediately prior to randomization,Breast Cancer,Clinical,Exclusion,Observation,,Elevated ALT > 3x ULN,
NCT01358877,Pregnancy/lactation,Pregnant or lactating women excluded,Breast Cancer,Reproductive,Exclusion,Observation,LOINC: 2106-3 (Pregnancy test),Pregnant at screening,
NCT01358877,Drug sensitivity,Known sensitivity to study drugs or excipients,Breast Cancer,Comorbidity,Exclusion,Condition,,Hypersensitivity to pertuzumab,
NCT00567190,Breast adenocarcinoma,Locally recurrent or metastatic; histologically/cytologically confirmed; not amenable to curative resection,Breast Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254838004 (Adenocarcinoma of breast); ICD-10: C50.x,Histology confirmed metastatic adenocarcinoma,
NCT00567190,HER2-positive,Metastatic breast cancer (MBC),Breast Cancer,Biomarker,Inclusion,Observation,LOINC: 11042-9 (HER2 IHC); SNOMED: 446096008 (HER2 positive breast carcinoma),HER2 positive breast carcinoma confirmed,
NCT00567190,LVEF,around 50% within 42 days of randomization,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 18020-4 (LVEF),Echocardiogram showing LVEF 55%,
NCT00567190,ECOG,between 0 and 1,Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG PS 1,
NCT00567190,Contraception,Women of childbearing potential and men with partners of childbearing potential; highly effective contraception for duration + 7 months post-treatment,Breast Cancer,Reproductive,Inclusion,Observation,,On oral contraceptives during trial participation,
NCT00567190,Anti-cancer therapy for MBC,Prior anti-cancer therapy for MBC (except one prior hormonal regimen),Breast Cancer,Treatment History,Exclusion,Medication,,Previously treated with hormonal therapy for MBC,
NCT00567190,HER inhibitors,Prior tyrosine kinase/HER inhibitors (except trastuzumab in adjuvant/neoadjuvant),Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 1151937 (Trastuzumab),Prior lapatinib therapy,
NCT00567190,Adjuvant/neo-adjuvant systemic therapy,Disease-free interval < 12 months from completion to metastatic diagnosis,Breast Cancer,Treatment History,Exclusion,Medication,,Relapsed 8 months after adjuvant chemotherapy,
NCT00567190,Hematologic toxicity,Persistent Grade  more than or equal to 2 toxicity from prior adjuvant therapy,Breast Cancer,Clinical,Exclusion,Observation,CTCAE v3.0,Persistent grade 2 anemia,
NCT00567190,Peripheral neuropathy,greater than or equal to Grade 3 (CTCAE v3.0),Breast Cancer,Clinical,Exclusion,Observation,CTCAE v3.0,Grade 3 neuropathy,
NCT00567190,Other malignancy,"History of malignancy within 5 years (except in-situ cervix, basal/squamous skin cancer)",Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 443961000124104,History of melanoma 3 years ago,
NCT00567190,CNS metastases,Current clinical/radiographic evidence of CNS metastases (CT/MRI if suspected),Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002,MRI confirmed brain metastases,
NCT00567190,Anthracyclines,History of exposure to cumulative anthracycline doses,Breast Cancer,Treatment History,Exclusion,Medication,RxNorm: 19728 (Doxorubicin),Prior high-dose anthracycline therapy,
NCT00567190,Hypertension/angina,Uncontrolled hypertension or unstable angina,Breast Cancer,Comorbidity,Exclusion,Condition,,Uncontrolled hypertension at screening,
NCT00567190,CHF/Arrhythmia,"History of CHF (any NYHA class) or serious arrhythmia (except AF, PSVT)",Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 42343007 (CHF),History of CHF NYHA II,
NCT00567190,MI,History of myocardial infarction within 6 months,Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 22298006 (MI),MI 4 months ago,
NCT00567190,LVEF decline,History of LVEF decline < 50% during/after trastuzumab,Breast Cancer,Clinical,Exclusion,Observation,LOINC: 18020-4 (LVEF),LVEF dropped to 45% after trastuzumab,
NCT00567190,Dyspnea,Dyspnea at rest requiring continuous oxygen therapy,Breast Cancer,Clinical,Exclusion,Observation,,Dyspnea at rest on O2,
